,para,std,lb,ub,0inbound
rx_gpi2_72_pmpm_cost_6to9m_b4,-0.09704195,0.011699257,-0.12044047,-0.07364343,0
atlas_pct_laccess_child15,0.0026330191,0.002094011,-0.001555003,0.006821041,1
atlas_recfacpth14,0.00083409663,0.0019009811,-0.0029678654,0.0046360586,1
atlas_pct_fmrkt_frveg16,-0.020294474,0.002721893,-0.02573826,-0.014850689,0
atlas_pct_free_lunch14,0.00017622324,0.0018248776,-0.003473532,0.0038259784,1
bh_ncal_pmpm_ct,0.008434712,0.02046638,-0.032498047,0.049367473,1
cons_chmi,0.019632714,0.0035395422,0.012553629,0.0267118,0
rx_gpi4_6110_pmpm_ct,0.06511023,0.010136494,0.04483724,0.08538322,0
atlas_pc_snapben15,0.009082317,0.0019414936,0.00519933,0.012965305,0
credit_bal_nonmtgcredit_60dpd,0.023877814,0.0031784535,0.017520908,0.03023472,0
rx_bh_mbr_resp_pmpm_cost_9to12m_b4,0.036185,0.005930888,0.024323225,0.048046775,0
atlas_pct_laccess_nhna15,-0.011643608,0.0057885204,-0.023220649,-6.656721e-05,0
credit_hh_nonmtgcredit_60dpd,0.037121505,0.0036452438,0.029831016,0.04441199,0
rx_bh_pmpm_ct_0to3m_b4,-0.071367934,0.0034856996,-0.07833933,-0.06439654,0
cons_lwcm10,0.009567665,0.0017657931,0.0060360786,0.013099251,0
atlas_fsrpth14,0.0016758597,0.0021315275,-0.0025871955,0.0059389146,1
auth_3mth_dc_home,0.023488794,0.015175959,-0.0068631247,0.05384071,1
atlas_wicspth12,-0.015888903,0.0021030689,-0.020095041,-0.011682766,0
cmsd2_sns_digest_abdomen_pmpm_ct,0.025580933,0.0037940515,0.01799283,0.033169035,0
atlas_ghveg_farms12,0.021007258,0.003111336,0.014784587,0.027229931,0
credit_hh_bankcardcredit_60dpd,0.016316516,0.003933927,0.008448662,0.02418437,0
total_outpatient_allowed_pmpm_cost_6to9m_b4,-0.052066732,0.006991281,-0.06604929,-0.03808417,0
cons_cwht,-0.009794984,0.0021166557,-0.014028296,-0.0055616726,0
atlas_netmigrationrate1016,0.021136628,0.0019450906,0.017246448,0.02502681,0
atlas_pct_laccess_snap15,-0.0014255267,0.00221125,-0.0058480264,0.0029969732,1
rx_nonmaint_mbr_resp_pmpm_cost_9to12m_b4,-0.034093432,0.0064294487,-0.04695233,-0.021234535,0
atlas_naturalchangerate1016,-0.013616406,0.0021887233,-0.017993852,-0.00923896,0
ccsp_236_pct,0.052705344,0.00599451,0.040716324,0.06469436,0
atlas_pct_laccess_hisp15,0.012416735,0.0026696671,0.007077401,0.01775607,0
auth_3mth_dc_no_ref,-0.0566916,0.05152884,-0.15974928,0.046366084,1
rx_overall_mbr_resp_pmpm_cost,-0.02994223,0.0099290805,-0.04980039,-0.010084068,0
rx_overall_gpi_pmpm_ct_0to3m_b4,0.0031556278,0.007338387,-0.011521146,0.017832402,1
auth_3mth_dc_snf,-0.110321,0.031523418,-0.17336783,-0.047274165,0
atlas_pct_laccess_hhnv15,-0.025819419,0.0025271918,-0.030873802,-0.020765036,0
auth_3mth_acute_end,0.04994655,0.13441284,-0.21887913,0.31877223,1
auth_3mth_psychic,0.028060006,0.10917587,-0.19029173,0.24641174,1
auth_3mth_bh_acute,0.068935044,0.108360186,-0.14778534,0.2856554,1
credit_bal_consumerfinance,0.044358656,0.0023956958,0.039567266,0.049150046,0
auth_3mth_acute_chf,0.040503535,0.1237987,-0.20709386,0.28810093,1
rwjf_uninsured_pct,0.030502142,0.0024742666,0.02555361,0.035450675,0
rx_mail_mbr_resp_pmpm_cost_0to3m_b4,-0.01878642,0.0050664446,-0.02891931,-0.00865353,0
atlas_pct_wic15,-0.037174307,0.0039299047,-0.045034118,-0.029314497,0
ccsp_193_pct,0.0131194815,0.00376497,0.0055895415,0.020649422,0
auth_3mth_dc_hospice,0.085173324,0.050145946,-0.015118569,0.18546522,1
atlas_pct_fmrkt_baked16,0.0042278203,0.0029737996,-0.0017197789,0.01017542,1
rx_nonmaint_mbr_resp_pmpm_cost,-0.026141422,0.008140811,-0.042423043,-0.0098598,0
auth_3mth_acute_skn,-0.04838555,0.12318588,-0.2947573,0.19798622,1
atlas_veg_farms12,-0.0053822407,0.0028631354,-0.011108512,0.0003440301,1
atlas_vlfoodsec_13_15,-0.09109835,0.005960496,-0.10301934,-0.079177365,0
rx_gpi2_34_dist_gpi6_pmpm_ct,0.031140842,0.0054016616,0.020337518,0.041944165,0
bh_ip_snf_net_paid_pmpm_cost,-0.14267416,0.07940049,-0.30147514,0.016126812,1
credit_hh_bankcard_severederog,0.031989776,0.0040385583,0.023912659,0.04006689,0
rx_hum_16_pmpm_ct,-0.031372502,0.003083298,-0.0375391,-0.025205906,0
est_age,-0.2281515,0.0024229381,-0.23299737,-0.22330563,0
cnt_cp_webstatement_pmpm_ct,-0.044230156,0.003672306,-0.051574767,-0.036885545,0
atlas_pct_laccess_seniors15,-0.0034439906,0.0022826407,-0.008009272,0.0011212907,1
phy_em_px_pct,0.013536136,0.0037385244,0.006059087,0.021013185,0
atlas_percapitainc,-0.0004649661,0.0026406166,-0.0057461993,0.004816267,1
rwjf_uninsured_adults_pct,0.0477881,0.0028840033,0.04202009,0.053556107,0
rx_generic_mbr_resp_pmpm_cost_0to3m_b4,0.020429613,0.0045156092,0.011398395,0.029460832,0
rwjf_air_pollute_density,-0.012219674,0.0025109279,-0.01724153,-0.0071978183,0
rx_gpi2_02_pmpm_cost,-0.019093418,0.004319395,-0.027732208,-0.010454629,0
atlas_recfac14,0.06245643,0.007849188,0.046758056,0.0781548,0
lab_albumin_loinc_pmpm_ct,0.048505653,0.004696613,0.039112426,0.05789888,0
atlas_pct_obese_adults13,-0.032309268,0.0023627912,-0.03703485,-0.027583685,0
rev_pm_obsrm_pmpm_ct,0.05858864,0.0043143723,0.049959894,0.06721738,0
atlas_pct_sfsp15,-0.007483023,0.0030561946,-0.0135954125,-0.001370634,0
total_physician_office_net_paid_pmpm_cost_9to12m_b4,-0.0041300673,0.003020427,-0.010170922,0.0019107866,1
atlas_pc_dirsales12,0.01688053,0.0029902414,0.010900049,0.022861013,0
med_ip_snf_admit_days_pmpm,-0.07482607,0.0093256505,-0.09347737,-0.05617477,0
cms_tot_partd_payment_amt,0.09407792,0.0021456904,0.089786544,0.0983693,0
rx_nonotc_dist_gpi6_pmpm_ct,-0.019637087,0.0039543095,-0.027545705,-0.011728468,0
rx_nonmaint_pmpm_ct,0.0088992305,0.0034733505,0.0019525294,0.015845932,0
rx_nonbh_mbr_resp_pmpm_cost_6to9m_b4,0.034373797,0.008022169,0.01832946,0.050418135,0
rx_nonbh_mbr_resp_pmpm_cost,-0.028227808,0.010503799,-0.049235404,-0.0072202105,0
atlas_redemp_snaps16,0.0145980185,0.002323527,0.009950965,0.019245073,0
atlas_berry_farms12,0.024293063,0.0035693862,0.017154291,0.031431835,0
rwjf_inactivity_pct,0.016499631,0.0024761017,0.011547428,0.021451835,0
rx_gpi2_72_pmpm_ct_6to9m_b4,0.0114907045,0.003132432,0.0052258405,0.017755568,0
cons_n2pmr,0.028837614,0.0023764789,0.024084656,0.03359057,0
auth_3mth_acute_res,0.025013505,0.04769508,-0.07037666,0.12040367,1
rev_cms_ct_pmpm_ct,0.025407745,0.0032651308,0.018877484,0.031938005,0
total_physician_office_copay_pmpm_cost,0.00090465543,0.0034224947,-0.005940334,0.007749645,1
auth_3mth_acute_dig,0.029162478,0.052819,-0.076475516,0.13480048,1
auth_3mth_dc_acute_rehab,-0.033907235,0.08593926,-0.20578575,0.13797128,1
atlas_pct_fmrkt_anmlprod16,0.0012738305,0.0025387674,-0.0038037044,0.0063513652,1
credit_num_agencyfirstmtg,-0.011917483,0.0031844815,-0.018286446,-0.00554852,0
atlas_agritrsm_rct12,0.040645085,0.0033133465,0.034018394,0.047271777,0
rx_days_since_last_script,0.055110365,0.009285225,0.036539916,0.07368082,0
atlas_pct_laccess_pop15,-0.018739715,0.0023619814,-0.023463678,-0.014015753,0
auth_3mth_post_acute_res,-0.02789421,0.22625086,-0.4803959,0.42460752,1
auth_3mth_acute_inf,0.031224623,0.07960625,-0.12798788,0.19043712,1
rx_gpi2_01_pmpm_cost_0to3m_b4,0.006210172,0.0039541526,-0.0016981331,0.014118478,1
atlas_povertyallagespct,-0.0067801466,0.002605508,-0.011991163,-0.0015691305,0
rwjf_uninsured_child_pct,0.058698528,0.00269168,0.053315166,0.064081885,0
credit_bal_mtgcredit_new,-0.022914903,0.0034239464,-0.029762797,-0.01606701,0
atlas_pct_diabetes_adults13,0.027046556,0.0025684068,0.021909742,0.032183368,0
atlas_pct_laccess_nhasian15,-0.024254056,0.0028305843,-0.029915225,-0.018592887,0
atlas_deep_pov_all,-0.023595331,0.002855298,-0.029305927,-0.017884735,0
atlas_net_international_migration_rate,0.006149084,0.0034512836,-0.00075348327,0.013051651,1
atlas_deep_pov_children,-0.018561473,0.002560735,-0.023682943,-0.013440004,0
bh_ncdm_pct,-0.0302724,0.0074200374,-0.045112476,-0.015432325,0
auth_3mth_non_er,0.07361139,0.021793803,0.030023787,0.117199,0
atlas_foodinsec_child_03_11,-0.011907768,0.003949556,-0.01980688,-0.0040086564,0
rx_branded_mbr_resp_pmpm_cost,-0.014047459,0.00836026,-0.03076798,0.0026730616,1
atlas_pc_wic_redemp12,-0.02876587,0.0021688354,-0.03310354,-0.0244282,0
rwjf_mv_deaths_rate,0.02090671,0.0025559065,0.015794896,0.026018523,0
auth_3mth_acute_cad,0.014626414,0.09401415,-0.17340189,0.20265472,1
atlas_pct_reduced_lunch14,0.00371091,0.0020536275,-0.00039634504,0.007818165,1
cons_nwperadult,-0.040612634,0.003472148,-0.04755693,-0.03366834,0
rx_hum_28_pmpm_cost,-0.020578342,0.0038637093,-0.02830576,-0.012850923,0
atlas_totalocchu,-0.035427246,0.0084830085,-0.052393265,-0.01846123,0
med_physician_office_ds_clm_6to9m_b4,0.0144341085,0.00375136,0.0069313883,0.021936828,0
atlas_pct_loclfarm12,-0.021168025,0.0026578405,-0.026483707,-0.015852343,0
rx_generic_mbr_resp_pmpm_cost,-0.0025265797,0.004764894,-0.0120563675,0.0070032086,1
total_outpatient_mbr_resp_pmpm_cost_6to9m_b4,0.0372227,0.00736688,0.022488939,0.05195646,0
rx_gpi4_3400_pmpm_ct,-0.0038635733,0.007612215,-0.019088004,0.011360857,1
lab_dist_loinc_pmpm_ct,0.020891977,0.0048503345,0.0111913085,0.030592646,0
atlas_pct_nslp15,0.098609485,0.003938539,0.09073241,0.10648656,0
rx_generic_pmpm_ct_0to3m_b4,-0.009599209,0.0075811865,-0.024761582,0.005563164,1
atlas_pct_laccess_lowi15,0.02296711,0.00247562,0.018015869,0.02791835,0
atlas_pct_fmrkt_sfmnp16,-0.014213551,0.002414456,-0.019042462,-0.009384639,0
atlas_pct_loclsale12,0.0005439971,0.004600752,-0.008657508,0.009745501,1
credit_bal_autobank,0.009487379,0.0026421929,0.0042029936,0.014771765,0
rx_overall_mbr_resp_pmpm_cost_0to3m_b4,0.026214108,0.007220899,0.011772309,0.040655907,0
rx_tier_2_pmpm_ct_3to6m_b4,-0.022593701,0.004179426,-0.030952554,-0.014234849,0
